Bryophyte species,BN2,LT1,LT2,PE3,PO2,PT1,PT3,QA1,QR1
Amblystegium serpens,1,0,5,0,0,0,0,3.2,2.3
Anomodon attenuatus,0.9,17.6,26.4,0,41.2,0,0,27.3,22.4
Anomodon minor,2.1,1,5.4,0,9.4,0,0,2.4,0.6
Anomodon rostratus,0,0,1.4,0,4.7,0,0,14,13.6
Brachythecium acuminatum,0,3.1,0,0,0,0,0,5.3,2.9
Brachythecium oxycladon,0.9,1.8,0.8,0,1.6,0,0,1.7,0.5
Bryoandersonia illecebra,1.8,3.7,2,0,0.7,0,0,5.9,1.6
Campylium hispidulum,0.9,1.2,0,0,0,0,0,2.2,2.6
Clasmatodon parvulus,0,1,8.1,0,8.3,0,0,1.1,0.4
Dicranum montanum,1.8,0,0,6.8,0,5.8,9,0,0
Dicranum scoparium,0,0,0,2,0,7.1,0,0,0
Entodon seductrix,0,2.8,5.4,0,0.8,0,0,0,0
Frulania eboracensis,3.7,13.1,10.1,0,7,0,0,7.7,7.5
Haplohymenium triste,0,0.6,0.6,0,2.2,0,0,3.8,1.3
Isopterygium tenerum,16.1,4.6,2.2,30.9,1.4,26.8,18.2,0.6,2.4
Leucobryum albidum,3.1,0,0,44.6,0,35.9,59,0,0
Leucodon julaceus,1.8,5.5,6.7,0,6.8,0,0,7.2,9.7
Lophocolea heterophylla,20.2,0.5,1.4,7.4,0,8.4,0,0,0.9
Platygyrium repens,29.4,5.5,9.5,0,2.1,3.2,0,1.8,2.3
Porella platyphylla,0,1.1,0.6,0,0.7,0,0,2.1,3.2
Radula complanata,0,4,0,0,0.9,0,0,2.3,6.2
Radula obconica,0,6.1,2.5,0,3.5,0,0,2.2,6.1
Sematophyllum adnatum,11,7.9,6.2,6.4,3.9,7.4,6.1,4.6,5.9
Thelia asprella,0,3.3,0,0,0,0,0,0.5,0.9
Thuidium delicatulum,0.9,15.6,1.6,0,0.7,0,0,1.5,0.4